Movie Names,Directors,Cast,Language,Verdict,Year of Release,Action,Thriller,SciFi,Biography,Drama,History,Romance,Comedy,Crime,Adventure,Horror,Sport,Fantacy,War,Ratings,Votes,Worldwide Gross in Crores,Hit or Flop
Katamarayudu,Kishore Kumar Pardasani,"['Pawan Kalyan', 'Shruti Haasan', 'Ajay', 'Rao Ramesh']",Telugu,Flop,2017,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5.5,2485,100.6,0
Mubarakan,Anees Bazmee,"['Anil Kapoor', 'Arjun Kapoor', ""Ileana D'Cruz"", 'Athiya Shetty']",Hindi,Hit,2017,0,0,0,0,0,0,1,1,0,0,0,0,0,0,5.6,4149,92.5,1
Jagga Jasoos,Anurag Basu,"['Shubzz', 'Ranbir Kapoor', 'Katrina Kaif', 'Saswata Chatterjee', 'Chitrak Bandyopadhyay']",Hindi,Flop,2017,1,0,0,0,0,0,0,1,0,1,0,0,0,0,6.3,10824,89.5,0
Fidaa,Sekhar Kammula,"['Sai Pallavi', 'Varun Tej', 'Sarah Uriarte Berry', 'Harshvardhan Rane']",Telugu,Blockbuster,2017,0,0,0,0,1,0,1,1,0,0,0,0,0,0,7.4,5062,87.8,1
Sachin,James Erskine,"['Sachin Tendulkar', 'Mikail Gandhi', 'Anjali Tendulkar', 'Mayur More']",Hindi,Hit,2017,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8.5,8179,85.6,1
Velaikkaran,Mohan Raja,"['Sivakarthikeyan', 'Fahadh Faasil', 'Nayanthara', 'Prakash Raj']",Tamil,Average,2017,1,1,0,0,1,0,0,0,0,0,0,0,0,0,7.2,4258,84.5,0
Gautamiputra Satakarni,Radha Krishna Jagarlamudi,"['Nandamuri Balakrishna', 'Hema Malini', 'Shriya Saran', 'Kabir Bedi']",Telugu,Hit,2017,1,0,0,0,0,1,0,0,0,0,0,0,0,0,6.4,2614,80.7,1
MCA Middle Class Abbayi,Venu Sriram,"['Nani', 'Sai Pallavi', 'Bhoomika Chawla', 'Rajeev Kanakala']",Telugu,Super Hit,2017,1,0,0,0,0,0,0,1,0,0,0,0,0,0,6,2690,72.6,1
Raajakumara,Santhosh Ananddram,"['Puneeth Rajkumar', 'Priya Anand', 'R. Sarathkumar', 'Vijayalakshmi Singh']",Kannada,All Time Blockbuster,2017,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7.8,4096,71,1
Shubh Mangal Saavdhan,R.S. Prasanna,"['Ayushmann Khurrana', 'Bhumi Pednekar', 'Seema Pahwa', 'Anshul Chauhan']",Hindi,Hit,2017,0,0,0,0,0,0,1,1,0,0,0,0,0,0,6.9,10605,63.4,1
The Ghazi Attack,Sankalp Reddy,"['Rana Daggubati', 'Kay Kay Menon', 'Atul Kulkarni', 'Om Puri']",Telugu,Super Hit,2017,1,1,0,0,0,0,0,0,0,0,0,0,0,1,7.5,13975,63,1
Vikram Vedha,Gayatri,"['Pushkar', 'Gowtham Selvaraj', 'Madhavan', 'Vijay Sethupathi', 'Shraddha Srinath', 'Kathir']",Tamil,Blockbuster,2017,1,0,0,0,1,0,0,0,1,0,0,0,0,0,8.2,46995,62.5,1
Nenu Local,Trinadha Rao Nakkina,"['Nani', 'Keerthy Suresh', 'Naveen Chandra', 'Sachin Khedekar']",Telugu,Blockbuster,2017,1,0,0,0,0,0,1,1,0,0,0,0,0,0,6.4,2658,60,1
Ninnu Kori,Shiva Nirvana,"['Nani', 'Nivetha Thomas', 'Aadhi', 'Tanikella Bharani']",Telugu,Blockbuster,2017,0,0,0,0,0,0,1,1,0,0,0,0,0,0,7.5,3527,59.1,1
Theeran Adhigaaram Ondru,H. Vinoth,"['Karthi', 'Rakul Preet Singh', 'Abhimanyu Singh', 'Bose Venkat']",Tamil,Hit,2017,1,1,0,0,0,0,0,0,1,0,0,0,0,0,8.2,15601,59,1
Raja the Great,Anil Ravipudi,"['Ravi Teja', 'Mehreen Pirzada', 'Vivan Bhatena', 'Radhika Sarathkumar']",Telugu,Hit,2017,1,0,0,0,0,0,0,1,0,0,0,0,0,0,6.3,2106,56.6,1
Shatamanam Bhavati,Satish Vegesna,"['Sharwanand', 'Anupama Parameswaran', 'Prakash Raj', 'Jayasudha']",Telugu,Blockbuster,2017,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,1468,55,1
Bareilly Ki Barfi,Ashwiny Iyer Tiwari,"['Ayushmann Khurrana', 'Kriti Sanon', 'Rajkummar Rao', 'Pankaj Tripathi']",Hindi,Hit,2017,0,0,0,0,0,0,1,1,0,0,0,0,0,0,7.5,24438,54.5,1
Velaiilla Pattadhari 2,Soundarya Rajinikanth Vishagan,"['Dhanush', 'Kajol', 'Amala Paul', 'Vivek']",Tamil,Flop,2017,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5.4,2838,54.5,0
Naam Shabana,Shivam Nair,"['Taapsee Pannu', 'Akshay Kumar', 'Manoj Bajpayee', 'Taher Shabbir']",Hindi,Below Average,2017,1,1,0,0,1,0,0,0,0,0,0,0,0,0,6.2,7091,54,0
Phillauri,Anshai Lal,"['Anushka Sharma', 'Diljit Dosanjh', 'Suraj Sharma', 'Mehreen Pirzada']",Hindi,Average,2017,0,0,0,0,1,0,0,1,0,0,0,0,0,0,6,3976,52,0
Arjun Reddy,Sandeep Reddy Vanga,"['Vijay Deverakonda', 'Shalini Pandey', 'Jia Sharma', 'Kanchana']",Telugu,Blockbuster,2017,1,0,0,0,1,0,1,0,0,0,0,0,0,0,8,26170,51.5,1
Munna Michael,Sabir Khan,"['Tiger Shroff', 'Nidhhi Agerwal', 'Nawazuddin Siddiqui', 'Mohammad Farman Ali']",Hindi,Below Average,2017,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3.4,3683,51.1,0
Rarandoi Veduka Chudham,Kalyan Krishna,"['Rakul Preet Singh', 'Avantika', 'Naga Chaitanya Akkineni', 'Vennela Kishore']",Telugu,Super Hit,2017,1,0,0,0,0,0,1,0,0,0,0,0,0,0,5.6,874,51,1
Nene Raju Nene Mantri,Teja,"['Mahesh Achanta', 'Kajal Aggarwal', 'Ajay', 'Rajsekhar Aningi']",Telugu,Super Hit,2017,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5.8,1508,50,1
Tumhari Sulu,Suresh Triveni,"['Vidya Balan', 'Manav Kaul', 'Neha Dhupia', 'Vijay Maurya']",Hindi,Hit,2017,0,0,0,0,1,0,0,1,0,0,0,0,0,0,7,5358,50,1
Velaikkaran,Mohan Raja,"['Sivakarthikeyan', 'Fahadh Faasil', 'Nayanthara', 'Prakash Raj']",Tamil,Average,2017,1,1,0,0,1,0,0,0,0,0,0,0,0,0,7.2,4258,84.5,0
Nene Raju Nene Mantri,Teja,"['Mahesh Achanta', 'Kajal Aggarwal', 'Ajay', 'Rajsekhar Aningi']",Telugu,Super Hit,2017,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5.8,1508,50,1
Munthirivallikal Thalirkkumbol,Jibu Jacob,"['Mohanlal', 'Meena', 'Aima Sebastian', 'Sanoop Santhosh']",Malayalam,Blockbuster,2017,0,0,0,0,0,0,1,1,0,0,0,0,0,0,6.9,2622,49,1
Anjaniputra,Harsha,"['Puneeth Rajkumar', 'Rashmika Mandanna', 'Ramya Krishnan', 'Mukesh Tiwari']",Kannada,Super Hit,2017,1,0,0,0,0,0,1,0,0,0,0,0,0,0,5.9,837,45.5,1
Hebbuli,S Krishna,"['Rudresh M. Gowda', 'V. Ravichandran', 'Sudeep', 'Amala Paul', 'Ravi Kishan']",Kannada,Blockbuster,2017,1,1,0,0,1,0,0,0,0,0,0,0,0,0,6.7,2724,45,1
Mahanubhavudu,Maruthi Dasari,"['Sharwanand', 'Mehreen Pirzada', 'Nasser', 'Kalyani Natarajan']",Telugu,Super Hit,2017,0,0,0,0,1,0,1,1,0,0,0,0,0,0,6.4,1010,44.5,1
Guru,Gagan Bhullar,"['Sudha Kongara', 'Venkatesh Daggubati', 'Ritika Singh', 'Mumtaz Sorcar', 'Nassar']",Telugu,Super Hit,2017,1,0,0,0,1,0,0,0,0,0,0,1,0,0,7.7,816,44,1
The Great Father,Haneef Adeni,"['Mammootty', 'Arya', 'Sneha', 'Anikha Surendran']",Malayalam,Super Hit,2017,1,0,0,0,1,0,0,0,1,0,0,0,0,0,6.9,7781,43.5,1
Sivalinga,P. Vasu,"['Raghava Lawrence', 'Ritika Singh', 'Shakthi Vasudevan', 'Vadivelu']",Tamil,Below Average,2017,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4.7,545,42,0
Ezra,Jay.k,"['Prithviraj Sukumaran', 'Priya Anand', 'Tovino Thomas', 'Sujith Shanker']",Malayalam,Super Hit,2017,0,1,0,0,0,0,0,0,0,0,1,0,0,0,6.6,2898,41,1
Kaatru Veliyidai,Mani Ratnam,"['Karthi', 'Aditi Rao Hydari', 'Shraddha Srinath', 'RJ Balaji']",Tamil,Below Average,2017,1,0,0,0,1,0,1,0,0,0,0,0,0,0,5.8,2263,41,0
Ramaleela,Arun Gopy,"['Dileep', 'Prayaga Martin', 'Radhika Sarathkumar', 'Kalabhavan Shajohn']",Malayalam,Blockbuster,2017,0,1,0,0,1,0,0,0,0,0,0,0,0,0,7.3,2430,40.5,1
Aval,Milind Rau,"['Prakash Belawadi', 'Khushi Hajare', 'Andrea Jeremiah', 'Atul Kulkarni']",Tamil,Super Hit,2017,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6.7,2549,39,1
Raju Gari Gadhi 2,Omkar,"['Samantha Ruth Prabhu', 'Nagarjuna Akkineni', 'Vennela Kishore', 'Abhinaya']",Telugu,Average,2017,0,1,0,0,0,0,0,1,0,0,1,0,0,0,5.3,849,38,0
Jaya Janaki Nayaka,Boyapati Srinu,"['Sai Srinivas Bellamkonda', 'Rakul Preet Singh', 'Jagapathi Babu', 'Pragya Jaiswal']",Telugu,Flop,2017,1,0,0,0,0,0,1,0,0,0,0,0,0,0,5.2,1100,37.3,0
Jomonte Suvisheshangal,Sathyan Anthikad,"['Dulquer Salmaan', 'Mukesh', 'Aishwarya Rajesh', 'Jacob Gregory']",Malayalam,Super Hit,2017,0,0,0,0,1,0,0,1,0,0,0,0,0,0,6.6,3249,36,1
Paisa Vasool,Puri Jagannadh,"['Nandamuri Balakrishna', 'Shriya Saran', 'Musskan Sethi', 'Vikramjeet Virk']",Telugu,Flop,2017,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4.4,803,35,0
Aadu 2,Midhun Manuel Thomas,"['Jayasurya', 'Saiju Kurup', 'Dharmajan Bolgatty', 'Bhagath Baby Manuel']",Malayalam,Blockbuster,2017,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,2216,34.5,1
Thupparivaalan,Mysskin,"['Vishal', 'Simran', 'Prasanna', 'Vinay Rai']",Tamil,Hit,2017,1,1,0,0,0,0,0,0,1,0,0,0,0,0,7.5,5087,33.6,1
Hello,Vikram K. Kumar,"['Akhil Akkineni', 'Kalyani Priyadarshan', 'Jagapathi Babu', 'Ramya Krishnan']",Telugu,Flop,2017,1,0,0,0,0,0,1,0,0,0,0,0,0,0,7.3,2542,32.8,0
Vunnadhi Okate Zindagi,Thirumala Kishore,"['Ram Pothineni', 'Sree Vishnu', 'Lavanya Tripathi', 'Anupama Parameswaran']",Telugu,Below Average,2017,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6.4,1227,31,0
Goutham Nanda,Sampath Nandi,"['Gopichand', 'Hansika Motwani', 'Catherine Tresa', 'Mukesh Rishi']",Telugu,Below Average,2017,1,1,0,0,1,0,0,0,0,0,0,0,0,0,6.4,911,30,0
Kavan,K.V. Anand,"['Vijay Sethupathi', 'Madonna Sebastian', 'Thesingu Rajendar', 'Bose Venkat']",Tamil,Super Hit,2017,1,1,0,0,1,0,0,0,0,0,0,0,0,0,7.1,2608,30,1
Chakravarthy,Chinthan,"['Darshan Thoogudeep', 'Deepa Sannidhi', 'Kumar Bangarappa', 'Aditya']",Kannada,Average,2017,1,0,0,0,0,0,0,0,1,0,0,0,0,0,6.3,1053,29,0
Motta Shiva Ketta Shiva,Sai Ramani,"['Raghava Lawrence', 'Nikki Galrani', 'Sathyaraj', 'Ashutosh Rana']",Tamil,Below Average,2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,493,28.6,0
CIA: Comrade in America,Amal Neerad,"['Dulquer Salmaan', 'Karthika Muraleedharan', 'Siddique', 'Chandini Sreedharan']",Malayalam,Super Hit,2017,1,0,0,0,1,0,0,0,0,1,0,0,0,0,6.4,3277,27.5,1
Take Off,Mahesh Narayanan,"['Parvathy Thiruvothu', 'Fahadh Faasil', 'Kunchacko Boban', 'Prakash Belawadi']",Malayalam,Super Hit,2017,1,1,0,0,1,0,0,0,0,0,0,0,0,0,8.1,6587,27,1
Winner,Gopichand Malineni,"['Sai Dharam Tej', 'Rakul Preet Singh', 'Jagapathi Babu', 'Adarsh']",Telugu,Disaster,2017,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4.6,462,27,0
Bogan,Lakshman,"['Jayam Ravi', 'Arvind Swami', 'Hansika Motwani', 'Nassar']",Tamil,Average,2017,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6.4,1939,26,0
Njandukalude Naattil Oridavela,Althaf Salim,"['Nivin Pauly', 'Shantikrishna', 'Lal', 'Aishwarya Lekshmi']",Malayalam,Hit,2017,0,0,0,0,0,0,1,1,0,0,0,0,0,0,7,1779,25.6,1
Velipadinte Pusthakam,Lal Jose,"['Mohanlal', 'Anoop Menon', 'Arun Kurian', 'Sarath Kumar']",Malayalam,Hit,2017,1,0,0,0,1,0,0,1,0,0,0,0,0,0,4.4,1466,25.3,1
Tarak,Prakash,"['Abbey Abimbola', 'Avinash', 'Devaraj', 'Sruthi Hariharan']",Kannada,Hit,2017,1,0,0,0,1,0,1,0,0,0,0,0,0,0,6.7,686,25.2,1
Parava,Soubin Shahir,"['Amal Shah', 'Govind V. Pai', 'Dulquer Salmaan', 'Shane Nigam']",Malayalam,Super Hit,2017,1,0,0,0,1,0,0,1,0,0,0,0,0,0,8,4291,25.1,1
Mufti,Narthan,"['Shivarajkumar', 'Prakash Belawadi', 'Shanvi Srivastava', 'Chaya Singh']",Kannada,Above Average,2017,1,1,0,0,1,0,0,0,0,0,0,0,0,0,7.9,1895,25.1,0
Om Namo Venkatesaya,K. Raghavendra Rao,"['Nagarjuna Akkineni', 'Saurabh Raj Jain', 'Anushka Shetty', 'Jagapathi Babu']",Telugu,Disaster,2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7.2,332,25,0
Villain,B. Unnikrishnan,"['Mohanlal', 'Vishal', 'Manju Warrier', 'Meka Srikanth']",Malayalam,Below Average,2017,1,1,0,0,0,0,0,0,1,0,0,0,0,0,6.1,2533,24.6,0
Meesaya murukku,Hiphop Tamizha Adhi,"['Hiphop Tamizha Adhi', 'Aathmika', 'Ma ka Pa Anand', 'Thameem Ansari']",Tamil,Blockbuster,2017,0,0,0,1,1,0,0,1,0,0,0,0,0,0,7.5,2640,24.4,1
Thondimuthalum Dhriksakshiyum,Dileesh Pothan,"['Fahadh Faasil', 'Suraj Venjaramoodu', 'Nimisha Sajayan', 'Alencier Ley Lopez']",Malayalam,Blockbuster,2017,0,1,0,0,1,0,0,0,1,0,0,0,0,0,8.1,6883,23,1
Masterpiece,Ajai Vasudev,"['Mammootty', 'Megha Mathew', 'Mahima Nambiar', 'Saju Navodaya']",Malayalam,Above Average,2017,1,0,0,0,0,0,0,0,1,0,0,0,0,0,5.5,2427,23,0
Adam Joan,Jinu Abraham,"['Prithviraj Sukumaran', 'Narain', 'Rahul Madhav', 'Bhavana']",Malayalam,Above Average,2017,0,1,0,0,0,0,1,0,0,0,0,0,0,0,6.4,1712,22.8,0
Chamak,Suni,"['Ganesh', 'Rashmika Mandanna', 'Sanjana Shetty', 'Raj Surya']",Kannada,Blockbuster,2017,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6.7,777,22.5,1
Angamaly Diaries,Lijo Jose Pellissery,"['Antony Varghese', 'Reshma Rajan', 'Binny Rinky Benjamin', 'Amrutha Anna Reji']",Malayalam,Blockbuster,2017,1,1,0,0,0,0,0,1,0,0,0,0,0,0,7.9,6342,22,1
Keshava,Sudheer Varma,"['Nikhil Siddharth', 'Ritu Varma', 'Isha Koppikar', 'Ajay']",Telugu,Average.,2017,1,1,0,0,1,0,0,0,0,0,0,0,0,0,6.2,562,22,0
Bharjari,Chethan Kumar,"['Dhruva Sarja', 'Rachita Ram', 'Haripriya', 'Anil']",Kannada,Blockbuster,2017,1,0,0,0,0,0,1,1,0,0,0,0,0,0,5,177,21.5,1
Sakhavu,Sidhartha Siva,"['Nivin Pauly', 'Aishwarya Rajesh', 'Aparna Gopinath', 'Binu Pappu']",Malayalam,Hit,2017,0,0,0,0,1,0,0,1,0,0,0,0,0,0,6.1,1482,21,1
Oru Mexican Aparatha,Tom Emmatty,"['Tovino Thomas', 'Neeraj Madhav', 'Roopesh Peethambaran', 'Manesh Krishnan']",Malayalam,Blockbuster,2017,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5.8,1346,20,1
Godha,Basil Joseph,"['Tovino Thomas', 'Renji Panicker', 'Wamiqa Gabbi', 'Aju Varghese']",Malayalam,Super Hit,2017,0,0,0,0,1,0,0,1,0,0,0,1,0,0,7.4,2379,20,1
2,S. Shankar,"['Bheema Dagla', 'Rajinikanth', 'Akshay Kumar', 'Amy Jackson']",Tamil,Average ,2018,1,1,1,0,0,0,0,0,0,0,0,0,0,0,6.1,25512,647.7,1
Sanju,Rajkumar Hirani,"['Ranbir Kapoor', 'Paresh Rawal', 'Manisha Koirala', 'Vicky Kaushal']",Hindi,Blockbuster,2018,0,0,0,1,1,0,0,1,0,0,0,0,0,0,7.6,56576,580.1,1
Padmaavat,Sanjay Leela Bhansali,"['Deepika Padukone', 'Ranveer Singh', 'Shahid Kapoor', 'Aditi Rao Hydari']",Hindi,Blockbuster,2018,0,0,0,0,1,1,1,0,0,0,0,0,0,0,7,34205,560.7,1
Andhadhun,Sriram Raghavan,"['Tabu', 'Ayushmann Khurrana', 'Radhika Apte', 'Anil Dhawan']",Hindi,Blockbuster,2018,0,1,0,0,0,0,0,0,1,0,0,0,0,0,8.2,96316,410.2,1
Simmba,Rohit Shetty,"['Ranveer Singh', 'Sara Ali Khan', 'Sonu Sood', 'Ashutosh Rana']",Hindi,Blockbuster,2018,1,0,0,0,1,0,0,0,1,0,0,0,0,0,5.5,21273,387,1
Thugs of Hindostan,Vijay Krishna Acharya,"['Aamir Khan', 'Amitabh Bachchan', 'Katrina Kaif', 'Lloyd Owen']",Hindi,Disaster,2018,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4,21333,317.7,0
Race 3,Remo D'Souza,"['Anil Kapoor', 'Salman Khan', 'Bobby Deol', 'Jacqueline Fernandez']",Hindi,Flop,2018,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1.9,47282,302,0
Baaghi 2,Ahmed Khan,"['Disha Patani', 'Manoj Bajpayee', 'Tiger Shroff', 'Jacqueline Fernandez']",Hindi,Blockbuster,2018,1,0,0,0,1,0,0,0,1,0,0,0,0,0,4.8,11176,251.1,1
Sarkar,A.R. Murugadoss,"['Joseph Vijay', 'Varalaxmi Sarathkumar', 'Yogi Babu', 'Keerthy Suresh']",Tamil,Above Average,2018,1,0,0,0,1,0,0,0,0,0,0,0,0,0,6.7,20765,249.3,0
K.G.F: Chapter 1,Prashanth Neel,"['Yash', 'Srinidhi Shetty', 'Ramachandra Raju', 'Archana Jois']",Kannada,All Time Blockbuster,2018,1,0,0,0,1,0,0,0,1,0,0,0,0,0,8.2,90435,226.1,1
Badhaai ho,Amit Ravindernath Sharma,"['Ayushmann Khurrana', 'Neena Gupta', 'Gajraj Rao', 'Sanya Malhotra']",Hindi,Blockbuster,2018,0,0,0,0,1,0,0,1,0,0,0,0,0,0,7.9,35769,225,1
Hichki,Malhotra P. Siddharth,"['Rani Mukerji', 'Rohit Saraf', 'Harsh Mayar', 'Jannat Zubair Rahmani']",Hindi,Super Hit,2018,0,0,0,0,1,0,0,1,0,0,0,0,0,0,7.5,12960,215,1
Rangasthalam,Sukumar,"['Ram Charan', 'Samantha Ruth Prabhu', 'Aadhi', 'Jagapathi Babu']",Telugu,Blockbuster,2018,1,0,0,0,1,0,0,0,0,0,0,0,0,0,8.2,25862,206.6,1
Raazi,Meghna Gulzar,"['Alia Bhatt', 'Vicky Kaushal', 'Rajit Kapoor', 'Shishir Sharma']",Hindi,Blockbuster,2018,1,1,0,0,1,0,0,0,0,0,0,0,0,0,7.7,32074,193,1
Zero,Aanand L. Rai,"['Shah Rukh Khan', 'Anushka Sharma', 'Katrina Kaif', 'Mohd. Zeeshan Ayyub']",Hindi,Disaster,2018,0,0,0,0,1,0,1,1,0,0,0,0,0,0,5.2,28811,193,0
Padman,R. Balki,"['Akshay Kumar', 'Radhika Apte', 'Sonam Kapoor', 'Jyoti Subhash']",Hindi,Hit,2018,0,0,0,0,1,0,0,1,0,0,0,0,0,0,7.9,27072,192.5,1
Stree,Amar Kaushik,"['Ashish Chhipa', 'Rajkummar Rao', 'Shraddha Kapoor', 'Pankaj Tripathi']",Hindi,Blockbuster,2018,0,0,0,0,0,0,0,1,0,0,1,0,0,0,7.5,35426,173.9,1
Bharat Ane Nenu,Koratala Siva,"['Mahesh Babu', 'Kiara Advani', 'Prakash Raj', 'R. Sarathkumar']",Telugu,Hit,2018,1,1,0,0,1,0,0,0,0,0,0,0,0,0,7.5,17873,167.5,1
